category,question_type,difficulty,question,correct_answer,incorrect_answer_0,incorrect_answer_1,incorrect_answer_2
F1,MULTIPLE,NORMAL,"In  relation  to  the  management  of  conflict,  which  of  the  following  approaches  will  maximise  the  prospect  ofconsensus?",Negotiation,Acceptance ,Avoidance,Assertiveness
F1,MULTIPLE,NORMAL,Which of the following is the MAIN function of marketing?,To identify and anticipate customer needs ,To maximise sales volume,To persuade potential consumers to convert latent demand into expenditure,To identify suitable outlets for goods and services supplied
F1,MULTIPLE,NORMAL,The major purpose of the International Accounting Standards Board (IASB) is to ensure consistency in ___________.,Financial control,Corporate reporting,External auditing,Internal auditing
F1,MULTIPLE,NORMAL,Which pattern of communication is the quickest way to send a message to all intended recipients?,The wheel,The chain,The circle,The Y
F1,MULTIPLE,NORMAL,What is the responsibility of a Public Oversight Board?,The monitoring and enforcement of legal and compliance standards,The creation of legislation relating to accounting standards,The establishment of detailed rules on internal audit procedures,The commissioning of financial reporting standards
F2,MULTIPLE,NORMAL,Which one of the following should be classified as indirect labour?,Forklift truck drivers in the stores of an engineering company,Assembly workers on a car production line,Brick layers in a house building company,Machinists in a factory producing clothes
F2,MULTIPLE,NORMAL,What would be the most appropriate cost unit for a cake manufacturer? Cost per:,Batch  ,Cake,Kg,Production Run
F2,MULTIPLE,NORMAL,A sample of people is taken with the same proportion of individuals in separate age bands as in the population as a whole. This is an example of which type of sampling?,Stratified Sampling,Systematic Sampling,Random Sampling,Cluster Sampling
F2,MULTIPLE,NORMAL,Which type of benchmarking is the company using?,Competitive benchmarking,Functional benchmarking,Internal benchmarking,Strategic benchmarking
F2,MULTIPLE,NORMAL,Under which of the following labour remuneration methods will direct labour cost always be a variable cost?,Piece rate,Group bonus scheme,Differential piece rate,Day rate
F3,MULTIPLE,NORMAL,This is a threshold that a company will allow its customers to owe at any one time without having to go back and review their credit file.,credit limit,tolerable error,risk level,allowance for bad debts
